1900	70
1901	38
1902	22
1903	110
1904	62
1905	89
1906	88
1907	56
1908	88
1909	113
1910	81
1911	57
1912	101
1913	52
1914	87
1915	53
1916	50
1917	78
1918	120
1919	82
1920	118
1921	112
1922	29
1923	74
1924	24
1925	89
1926	109
1927	116
1928	82
1929	88
1930	49
1931	31
1932	105
1933	50
1934	21
1935	47
1936	119
1937	88
1938	83
1939	86
1940	80
1941	43
1942	23
1943	60
1944	75
1945	90
1946	93
1947	105
1948	47
1949	93
1950	66
1951	45
1952	84
1953	74
1954	98
1955	88
1956	43
1957	86
1958	83
1959	104
1960	54
1961	112
1962	115
1963	38
1964	41
1965	116
1966	65
1967	39
1968	83
1969	27
1970	105
1971	42
1972	50
1973	108
1974	82
1975	104
1976	77
1977	55
1978	88
1979	104
1980	27
1981	33
1982	28
1983	91
1984	87
1985	105
1986	58
1987	110
1988	71
1989	120
1990	94
1991	104
1992	111
1993	88
1994	22
1995	32
1996	83
1997	67
1998	51
1999	46
2000	73
2001	35
2002	68
2003	102
2004	23
2005	30
2006	86
2007	79
2008	64
2009	53
2010	62
2011	71
2012	66
2013	69
2014	41
